DOGE-USDT-SWAP_buyprice_long_202605121908=0.10887	-343->-342
DOGE-USDT-SWAP_buyprice_long_202605121910=0.109	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605121919=0.10858	-340->-339
DOGE-USDT-SWAP_buyprice_long_202605121920=0.10867	-341->-340
DOGE-USDT-SWAP_buyprice_long_202605121922=0.10877	-342->-341
XAU-USDT-SWAP_buyprice_long_202605121932=4705.3	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605121934=0.1089	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605122016=0.10941	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605122037=4705.2	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605122043=4711.2	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605122043=0.10937	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605122053=4715.8	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605122122=4699.4	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605122132=0.10926	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605122138=4700.8	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605122139=0.10917	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605122142=4705.4	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605122157=0.10851	-339->-338
DOGE-USDT-SWAP_buyprice_long_202605122159=0.10829	-337->-336
DOGE-USDT-SWAP_buyprice_long_202605122159=0.10838	-338->-337
DOGE-USDT-SWAP_buyprice_long_202605122207=0.10884	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605122213=0.10899	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605122213=4699.5	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605122233=0.1082	-336->-335
DOGE-USDT-SWAP_buyprice_long_202605122234=0.10809	-335->-334
DOGE-USDT-SWAP_buyprice_long_202605122234=0.10801	-334->-333
DOGE-USDT-SWAP_buyprice_long_202605122238=0.10862	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605122238=4692.2	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605122239=0.10873	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605122242=0.10907	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605122302=0.10871	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605122307=4675.5	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605122331=0.10847	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605122333=4667.6	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605122342=0.10855	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605130139=0.10879	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605131039=0.11115	-357->-356
DOGE-USDT-SWAP_buyprice_long_202605131041=0.11107	-358->-357
DOGE-USDT-SWAP_buyprice_long_202605131041=0.11108	-359->-358
DOGE-USDT-SWAP_buyprice_long_202605131041=0.11108	-360->-359
DOGE-USDT-SWAP_buyprice_long_202605131041=0.11108	-361->-360
DOGE-USDT-SWAP_buyprice_long_202605131041=0.11108	-362->-361
DOGE-USDT-SWAP_buyprice_long_202605131041=0.11108	-363->-362
DOGE-USDT-SWAP_buyprice_long_202605131041=0.11104	-364->-363
DOGE-USDT-SWAP_buyprice_long_202605131041=0.11105	-365->-364
DOGE-USDT-SWAP_buyprice_long_202605131041=0.11105	-366->-365
DOGE-USDT-SWAP_buyprice_long_202605131042=0.11115	-367->-366
DOGE-USDT-SWAP_buyprice_long_202605131044=0.1112	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605131045=0.11124	-368->-367
DOGE-USDT-SWAP_buyprice_long_202605131059=0.11103	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605131106=4698.1	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605131117=0.11122	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605131120=0.11136	-369->-368
DOGE-USDT-SWAP_buyprice_long_202605131121=0.11143	-370->-369
DOGE-USDT-SWAP_buyprice_long_202605131121=0.11143	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605131125=0.11143	-370->-369
DOGE-USDT-SWAP_buyprice_long_202605131126=0.11154	-371->-370
XAU-USDT-SWAP_buyprice_long_202605131129=4704.8	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605131218=0.11134	-369->-368
DOGE-USDT-SWAP_buyprice_long_202605131229=0.11163	-372->-371
DOGE-USDT-SWAP_buyprice_long_202605131230=0.11178	-373->-372
DOGE-USDT-SWAP_buyprice_long_202605131231=0.1117	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605131231=0.11181	-374->-373
DOGE-USDT-SWAP_buyprice_long_202605131232=0.1119	-375->-374
DOGE-USDT-SWAP_buyprice_long_202605131235=0.11192	-375->-374
DOGE-USDT-SWAP_buyprice_long_202605131236=0.11205	-376->-375
DOGE-USDT-SWAP_buyprice_long_202605131237=0.1121	-377->-376
DOGE-USDT-SWAP_buyprice_long_202605131257=0.11223	-378->-377
DOGE-USDT-SWAP_buyprice_long_202605131301=0.1123	-379->-378
